date,region,price_vnd_per_kg,scraped_at,source
2025-02-23,DakLak,119800,2025-11-07T01:46:32.054108,chart_data
2025-02-23,DakNong,120000,2025-11-07T01:46:32.058374,chart_data
2025-02-23,GiaLai,119800,2025-11-07T01:46:32.045458,chart_data
2025-02-23,LamDong,118800,2025-11-07T01:46:32.049709,chart_data
2025-02-24,DakLak,121000,2025-11-07T01:46:32.054114,chart_data
2025-02-24,DakNong,121200,2025-11-07T01:46:32.058379,chart_data
2025-02-24,GiaLai,121000,2025-11-07T01:46:32.045464,chart_data
2025-02-24,LamDong,120000,2025-11-07T01:46:32.049715,chart_data
2025-02-25,DakLak,123000,2025-11-07T01:46:32.054119,chart_data
2025-02-25,DakNong,123200,2025-11-07T01:46:32.058388,chart_data
2025-02-25,GiaLai,123000,2025-11-07T01:46:32.045471,chart_data
2025-02-25,LamDong,122000,2025-11-07T01:46:32.049721,chart_data
2025-02-26,DakLak,121500,2025-11-07T01:46:32.054125,chart_data
2025-02-26,DakNong,121600,2025-11-07T01:46:32.058395,chart_data
2025-02-26,GiaLai,121500,2025-11-07T01:46:32.045477,chart_data
2025-02-26,LamDong,120500,2025-11-07T01:46:32.049728,chart_data
2025-02-27,DakLak,121500,2025-11-07T01:46:32.054131,chart_data
2025-02-27,DakNong,121600,2025-11-07T01:46:32.058401,chart_data
2025-02-27,GiaLai,121500,2025-11-07T01:46:32.045483,chart_data
2025-02-27,LamDong,120500,2025-11-07T01:46:32.049734,chart_data
2025-02-28,DakLak,121300,2025-11-07T01:46:32.054137,chart_data
2025-02-28,DakNong,121400,2025-11-07T01:46:32.058407,chart_data
2025-02-28,GiaLai,121200,2025-11-07T01:46:32.045490,chart_data
2025-02-28,LamDong,120000,2025-11-07T01:46:32.049740,chart_data
2025-03-01,DakLak,124300,2025-11-07T01:46:32.054143,chart_data
2025-03-01,DakNong,124400,2025-11-07T01:46:32.058414,chart_data
2025-03-01,GiaLai,124200,2025-11-07T01:46:32.045496,chart_data
2025-03-01,LamDong,123000,2025-11-07T01:46:32.049746,chart_data
2025-03-02,DakLak,121300,2025-11-07T01:46:32.054149,chart_data
2025-03-02,DakNong,121400,2025-11-07T01:46:32.058421,chart_data
2025-03-02,GiaLai,121200,2025-11-07T01:46:32.045502,chart_data
2025-03-02,LamDong,120000,2025-11-07T01:46:32.049752,chart_data
2025-03-03,DakLak,120000,2025-11-07T01:46:32.054155,chart_data
2025-03-03,DakNong,120100,2025-11-07T01:46:32.058427,chart_data
2025-03-03,GiaLai,120000,2025-11-07T01:46:32.045508,chart_data
2025-03-03,LamDong,119000,2025-11-07T01:46:32.049758,chart_data
2025-03-04,DakLak,119800,2025-11-07T01:46:32.054161,chart_data
2025-03-04,DakNong,119900,2025-11-07T01:46:32.058433,chart_data
2025-03-04,GiaLai,119900,2025-11-07T01:46:32.045515,chart_data
2025-03-04,LamDong,118800,2025-11-07T01:46:32.049764,chart_data
2025-03-05,DakLak,119200,2025-11-07T01:46:32.054167,chart_data
2025-03-05,DakNong,119300,2025-11-07T01:46:32.058440,chart_data
2025-03-05,GiaLai,119200,2025-11-07T01:46:32.045521,chart_data
2025-03-05,LamDong,118200,2025-11-07T01:46:32.049784,chart_data
2025-03-06,DakLak,119200,2025-11-07T01:46:32.054174,chart_data
2025-03-06,DakNong,119300,2025-11-07T01:46:32.058446,chart_data
2025-03-06,GiaLai,119200,2025-11-07T01:46:32.045528,chart_data
2025-03-06,LamDong,118200,2025-11-07T01:46:32.049790,chart_data
